id	Non-malignant	Non-malignant	Non-malignant	Non-malignant	Non-malignant	Claudin-low	Claudin-low	Claudin-low	Claudin-low	Claudin-low	Claudin-low
ENSG00000131746.11	373.26	333.98	474.49	303.75	465.48	0.1	0.1	0.23	0.09	0.05	0.92
ENSG00000065618.15	351.31	545.6	207.94	219.26	332.95	0.05	0.37	0	1.72	0.12	1.88
ENSG00000128422.14	1927.78	5882.94	3161.55	1722.58	6828.7	1.2	0.43	0	2.71	1.71	0.45
ENSG00000111319.11	385.27	247.23	148.99	123.84	139.87	0.09	2.25	0.23	1.82	1.03	2.63
ENSG00000189334.7	693.32	950.08	565.24	292.25	985.39	0	1.07	0.52	0.56	0.12	0
ENSG00000076826.8	9.26	11.65	6.87	6.91	10.06	0.24	0.44	0.12	0.89	0.93	0.05
ENSG00000137699.15	258.79	620.89	286.77	186.01	234.96	0.5	0.22	0.28	1.45	0.57	0.15
ENSG00000053747.14	132.11	76.79	180.46	317.22	169.81	3.24	1.86	1.1	0.04	1.26	0.13
ENSG00000205420.9	2097.25	4090.68	1239.68	3333.76	6226.36	0.6	14.23	0.1	0.19	0.33	0.14
ENSG00000132470.12	892.46	541.32	708.8	235.69	895.6	0.32	2.27	3.26	0.79	0.62	9.85
ENSG00000039068.17	59.54	143.23	41.09	58.05	87.41	0.01	0.57	1.27	1.37	2.39	0
ENSG00000148671.12	259.04	620.51	175.49	356.72	136.37	0.52	0	2.92	0.46	1.05	0.62
ENSG00000103067.10	29.02	45.95	52.42	20.85	37.54	0.21	0.42	1.45	0.38	0.42	0.43
ENSG00000130545.14	19.1	34.71	15.75	13.11	21.71	0	0	0.09	0.13	0.23	1.12
ENSG00000159166.12	150.32	154.88	151.18	62.43	201.09	0.87	0	0.49	0.21	0.41	0
ENSG00000271447.4	98.83	105.16	41.09	52.1	76.03	NA	3.9	0.1	0.07	NA	0
ENSG00000188910.7	97.99	78.24	111.81	107.57	165.23	0.06	0.08	0.09	0	0.22	0
ENSG00000115112.7	34.87	44.13	20.47	43.78	20.16	0.01	2.81	0.18	0.14	0.04	0.47
ENSG00000197565.14	20.64	16.82	25.7	9.81	14.85	0.96	0.06	1.46	0.76	0.23	0.06
ENSG00000166145.13	120.7	214.92	78.04	164.34	57.63	0.26	1.64	1.9	0.21	0.92	0.34
ENSG00000265190.5	423.93	723.97	243.66	137.68	429.94	0.33	0.1	0.57	1.81	0.06	0.06
ENSG00000189280.3	50.5	69.29	54.4	39.12	114.55	0.04	0.17	0.17	0.05	0.6	0
ENSG00000142675.16	29.92	30.41	26.62	32.49	19	0.36	1.15	1.26	0.12	3.06	0.43
ENSG00000173801.15	218.25	786.76	204.49	282.74	558.92	10.23	1.84	4.87	7.69	5.18	19.53
ENSG00000021762.18	34.64	56.92	42.36	58.5	36.31	5.92	4.25	4.07	4.77	12.59	6.68
