id	Luminal	Basal	Basal A	Basal	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal A	Basal A	Basal B	Basal	Basal	Basal B	Basal B	Basal	Basal B	Basal A	Basal	Basal	Basal A	Basal	Luminal	Basal A
MT-CO1	12.651	12.9154	12.4541	12.1774	12.0916	12.2499	12.0773	12.2818	11.8859	12.0898	11.797	12.4687	12.0702	11.803	12.5113	11.842	11.9121	10.9605	12.5653	12.2447	12.2333	12.0591	12.9654	12.3749	12.4564	12.1371	12.1234	12.3294	12.8616	12.1623	12.0318
MT-ND4	12.4889	12.4416	12.1049	11.9115	11.8061	11.9912	11.9764	11.5899	11.9926	11.7766	11.2537	12.3945	11.7954	11.2439	12.3774	11.6132	12.0615	11.3546	12.157	11.8581	12.2925	12.1211	12.5239	11.6995	11.9917	11.9201	11.552	11.9697	12.2544	12.339	12.3477
MT-RNR2	11.3881	13.0063	11.7548	10.1778	11.4819	12.6324	11.3306	12.0451	12.4672	11.6541	11.0547	10.9137	12.5555	12.1987	12.1531	12.2002	13.0351	10.0842	11.9066	11.6067	10.5755	12.2363	13.0842	12.1609	11.9986	10.2895	10.9118	11.6916	12.1182	12.6586	12.0382
MT-CO2	11.869	11.9256	12.0556	11.0821	11.199	12.0716	11.664	11.6289	11.8974	11.3883	11.1996	11.7303	11.3472	11.1344	11.8528	10.8897	11.84	10.5748	11.8164	11.4655	11.7266	11.3506	11.9967	11.6286	11.593	11.0955	11.0211	11.7823	12.1003	12.1252	11.6516
EEF1A1	11.5929	11.7457	10.8191	11.0883	11.8082	11.7611	12.0809	11.7113	11.5467	12.1429	11.7831	11.7767	11.7535	11.1254	11.978	11.485	10.8971	11.0909	11.5871	11.3155	12.1698	11.7954	11.8463	11.284	11.7273	11.1285	11.1341	11.5684	11.5528	11.3542	11.8114
MT-CO3	11.7272	11.6952	11.5032	10.6337	10.9406	11.5526	11.4283	11.2184	11.4276	11.5092	10.9919	11.4926	11.2931	10.4896	11.4713	11.0336	11.6143	9.89942	11.7267	11.412	11.1002	11.439	11.7762	11.5254	11.5482	10.6317	10.3219	11.3116	12.0862	11.5805	11.308
MT-ND5	11.7176	11.493	11.5919	11.0541	11.094	11.2413	11.0617	11.1474	11.0179	11.1091	10.2474	10.9263	10.7866	10.7982	11.0476	9.79557	11.3626	10.393	10.7059	10.3768	11.8038	11.3003	11.5331	11.1507	11.1301	11.0248	11.612	11.0787	11.3218	11.8116	11.6003
GAPDH	10.7757	11.6061	11.4509	11.5535	11.5633	11.6626	11.2221	11.2057	11.3233	11.5497	10.8982	11.5167	11.0733	11.2676	10.1877	11.3192	11.0459	11.0758	11.5357	11.3118	11.4447	11.2878	11.7111	10.9183	11	11.6134	11.3422	11.625	10.8671	11.0507	11.2004
MT-CYB	11.2349	11.1011	11.6469	10.552	10.5412	10.7121	10.9854	10.9201	10.9756	10.8898	10.2406	10.8745	11.3033	10.8444	11.5093	10.2998	11.7449	9.77451	10.9454	10.6588	11.4867	10.7605	11.195	10.9827	10.6491	10.5715	10.628	10.6954	11.2856	11.5772	11.6498
MT-ATP6	11.5276	11.3689	11.2467	10.3225	10.5037	11.0075	11.3334	10.9076	11.2684	11.0417	10.5978	11.2701	11.2447	10.5673	11.2278	10.3798	11.4218	10.4	11.3722	11.0209	11.3349	11.0512	11.4466	11.0144	10.7699	10.2992	10.4526	10.8152	11.8591	11.4405	11.7006
