Group	Blastimal	Blastimal	Blastimal	Triphasic	Triphasic	Triphasic	Triphasic	Triphasic	Triphasic	Triphasic	Triphasic	Triphasic
hsa-miR-126-5p	-1.37	-1.39	-1.15	-4.55	-3.75	-3.57	-2.02	-4.55	-3.4	-2.88	-4.15	-3.49
hsa-miR-299-5p	25.45	28.42	16.17	-35.06	-28.89	-27.53	-15.56	4.76	14.6	-22.17	-32.03	-26.88
hsa-miR-3196	-1.85	-2.22	-1.61	1.57	-1.43	1.09	1.19	-1.01	1.78	1.35	1.86	2.72
hsa-miR-499a-5p	6.96	8.46	3.55	-89.45	-73.7	-70.23	-39.69	-89.6	12.48	-56.56	-81.7	-68.57
hsa-miR-1	20.51	25.64	13.4	-261.98	-215.84	-205.68	-116.23	-9.68	3.22	-165.65	-239.28	-200.83
hsa-miR-491-5p	-1.09	-1.14	-1.2	-1.12	1.09	1.14	2.02	2.15	1.2	1.41	-1.02	1.17
hsa-miR-888-5p	-1.09	-1.14	-1.2	-1.12	1.09	1.14	2.02	2.33	1.2	1.41	-1.02	1.17
hsa-miR-658	-1.16	-1.21	-1.05	2.02	1.02	1.07	1.9	-1.19	1.13	1.33	-1.08	1.1
hsa-miR-133a	24.07	27.06	21.52	-25.04	-20.63	-19.66	-11.11	-7.93	44.11	-15.83	-22.87	-19.2
hsa-miR-509-5p	-1.09	-1.14	-1.01	2.32	1.09	1.14	2.02	-1.12	1.2	1.41	-1.02	1.17
