Group	hsa-miR-126-5p	hsa-miR-299-5p	hsa-miR-3196	hsa-miR-499a-5p	hsa-miR-1	hsa-miR-491-5p	hsa-miR-888-5p	hsa-miR-658	hsa-miR-133a	hsa-miR-509-5p
Blastimal	-1.37	25.45	-1.85	6.96	20.51	-1.09	-1.09	-1.16	24.07	-1.09
Blastimal	-1.39	28.42	-2.22	8.46	25.64	-1.14	-1.14	-1.21	27.06	-1.14
Blastimal	-1.15	16.17	-1.61	3.55	13.4	-1.2	-1.2	-1.05	21.52	-1.01
Triphasic	-4.55	-35.06	1.57	-89.45	-261.98	-1.12	-1.12	2.02	-25.04	2.32
Triphasic	-3.75	-28.89	-1.43	-73.7	-215.84	1.09	1.09	1.02	-20.63	1.09
Triphasic	-3.57	-27.53	1.09	-70.23	-205.68	1.14	1.14	1.07	-19.66	1.14
Triphasic	-2.02	-15.56	1.19	-39.69	-116.23	2.02	2.02	1.9	-11.11	2.02
Triphasic	-4.55	4.76	-1.01	-89.6	-9.68	2.15	2.33	-1.19	-7.93	-1.12
Triphasic	-3.4	14.6	1.78	12.48	3.22	1.2	1.2	1.13	44.11	1.2
Triphasic	-2.88	-22.17	1.35	-56.56	-165.65	1.41	1.41	1.33	-15.83	1.41
Triphasic	-4.15	-32.03	1.86	-81.7	-239.28	-1.02	-1.02	-1.08	-22.87	-1.02
Triphasic	-3.49	-26.88	2.72	-68.57	-200.83	1.17	1.17	1.1	-19.2	1.17
